Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Adley Rutschman C,Aug 1,4,1,3,1,1,0,5,0.251,0.347,0.441,0.788,17,10,0.088,0.52,0.089,0.00%,0.04%,0.4,2.2,7,1,2·2B,1
Anthony Santander DH,Aug 1,4,0,1,1,0,0,5,0.257,0.34,0.455,0.795,16,9,0.107,0.73,0.113,-0.01%,0.05%,0.57,0.8,,,HBP,1
Ryan Mountcastle 1B,Aug 1,5,0,2,2,0,2,5,0.257,0.296,0.44,0.736,29,19,0.017,0.73,0.067,-0.05%,0.01%,0.57,0.7,14,0,2B,1
Rougned Odor 2B,Aug 1,5,0,0,0,0,1,5,0.197,0.256,0.374,0.63,11,9,-0.079,0.62,0,-0.08%,-0.04%,0.49,-2.1,1,4,,1
Ramon Urias 3B,Aug 1,5,0,0,0,0,2,5,0.251,0.299,0.434,0.733,19,14,-0.077,0.61,0,-0.08%,-0.04%,0.48,-1.9,1,4,,1
Terrin Vavra LF,Aug 1,4,1,1,0,1,1,5,0.143,0.333,0.143,0.476,23,12,0.02,0.27,0.033,-0.01%,0.01%,0.21,-0.1,2,0,,1
Ryan McKenna RF,Aug 1,5,1,1,0,0,1,5,0.245,0.297,0.333,0.631,13,11,-0.038,0.35,0.001,-0.04%,-0.02%,0.27,-0.8,0,0,,1
Jorge Mateo SS,Aug 1,4,1,2,1,0,0,4,0.215,0.261,0.372,0.633,11,7,0.048,0.33,0.052,-0.01%,0.02%,0.25,1.6,0,3,"2B,SB",1
Cedric Mullins CF,Aug 2,5,1,2,0,0,1,5,0.261,0.321,0.39,0.711,19,12,0.003,0.43,0.036,-0.03%,0.00%,0.34,0.2,2,0,SB,1
Adley Rutschman C,Aug 2,5,2,2,1,0,1,5,0.255,0.348,0.45,0.798,20,14,0.049,0.31,0.066,-0.02%,0.02%,0.25,1,10,0,2·2B,1
Anthony Santander LF,Aug 2,4,0,2,1,0,1,4,0.26,0.342,0.458,0.8,19,11,0.032,0.29,0.044,-0.01%,0.01%,0.23,1.5,1,0,2B,1
Ryan Mountcastle 1B,Aug 2,3,0,0,1,1,0,5,0.255,0.295,0.436,0.731,19,12,-0.031,0.35,0.002,-0.03%,-0.01%,0.28,-0.8,7,1,SF,1
Austin Hays RF,Aug 2,4,0,0,0,0,1,4,0.258,0.317,0.429,0.745,18,15,-0.028,0.29,0,-0.03%,-0.01%,0.23,-0.9,1,0,,1
Rougned Odor 2B,Aug 2,4,0,0,0,0,1,4,0.195,0.253,0.369,0.622,17,13,-0.025,0.23,0,-0.03%,-0.01%,0.18,-1,3,3,,1
Ramon Urias 3B,Aug 2,3,1,0,0,0,1,4,0.248,0.298,0.429,0.727,14,9,0.058,0.62,0.07,-0.01%,0.03%,0.49,-0.1,0,2,"SB,HBP",1
Terrin Vavra DH,Aug 2,1,2,1,0,3,0,4,0.25,0.538,0.25,0.788,20,8,0.04,0.35,0.047,-0.01%,0.02%,0.28,0.9,,,CS,1
Jorge Mateo SS,Aug 2,4,2,2,5,0,1,4,0.218,0.264,0.392,0.657,11,10,0.197,0.62,0.206,-0.01%,0.09%,0.49,3.3,1,3,2·HR,1
Cedric Mullins CF,Aug 3,4,0,1,0,1,1,5,0.26,0.322,0.388,0.71,15,8,-0.007,0.91,0.062,-0.07%,0.00%,0.76,-0.2,2,0,,1
Adley Rutschman DH,Aug 3,2,1,0,0,3,0,5,0.252,0.353,0.446,0.799,25,11,0.019,1.23,0.076,-0.06%,0.01%,1.03,0.5,,,,1
Anthony Santander RF,Aug 3,5,1,1,1,0,2,5,0.259,0.34,0.457,0.797,22,15,-0.123,1.15,0.055,-0.18%,-0.06%,0.96,0.5,0,0,2B,1
Ryan Mountcastle 1B,Aug 3,4,0,0,0,1,2,5,0.252,0.294,0.431,0.725,16,11,-0.08,1.03,0.03,-0.11%,-0.04%,0.86,-1.1,10,1,,1
Ramon Urias 2B,Aug 3,5,0,1,0,0,2,5,0.247,0.296,0.425,0.721,14,11,-0.065,1.03,0.037,-0.10%,-0.03%,0.86,-0.8,2,7,,1
Ryan McKenna LF,Aug 3,2,1,1,1,1,1,3,0.25,0.307,0.365,0.672,15,9,0.134,1.06,0.162,-0.03%,0.07%,0.89,1.2,0,0,HR,1
Jorge Mateo SS,Aug 3,3,1,0,0,1,1,4,0.216,0.264,0.389,0.653,17,10,-0.118,1.45,0.052,-0.17%,-0.06%,1.22,-1,1,2,SB,1
Tyler Nevin 3B,Aug 3,3,0,1,0,0,2,3,0.207,0.31,0.276,0.586,14,9,0.01,1.13,0.069,-0.06%,0.01%,0.95,0.2,0,1,2B,1
Robinson Chirinos C,Aug 3,4,1,3,2,0,0,4,0.168,0.256,0.282,0.538,10,5,0.301,1.1,0.349,-0.05%,0.15%,0.92,1.6,10,0,HR,1
Cedric Mullins CF,Aug 5,4,0,2,0,0,1,4,0.263,0.324,0.394,0.718,10,8,0.079,1.06,0.139,-0.06%,0.04%,0.92,0.7,3,0,"2·2B,SB",1
Adley Rutschman C,Aug 5,2,0,0,0,2,0,4,0.25,0.356,0.441,0.797,14,5,-0.04,1.16,0.04,-0.08%,-0.02%,1,-0.1,6,1,SB,1
Anthony Santander RF,Aug 5,4,1,1,0,0,0,4,0.259,0.339,0.458,0.797,15,9,-0.02,1.36,0.094,-0.11%,-0.01%,1.19,-0.5,3,0,2B,1
Ryan Mountcastle 1B,Aug 5,4,0,2,0,0,0,4,0.255,0.296,0.432,0.728,12,7,-0.135,1.21,0.062,-0.20%,-0.07%,1.04,-1.1,9,0,,1
Terrin Vavra DH,Aug 5,4,0,3,0,0,0,4,0.462,0.611,0.538,1.15,12,7,0.201,1.33,0.201,0.00%,0.10%,1.16,2.1,,,,1
Ramon Urias 3B,Aug 5,3,0,1,1,0,0,4,0.248,0.297,0.424,0.72,11,7,-0.051,1.87,0.104,-0.16%,-0.03%,1.62,-0.8,1,2,"SH,GDP",1
Rougned Odor 2B,Aug 5,3,0,0,0,1,0,4,0.193,0.253,0.365,0.618,12,8,-0.114,1.39,0.001,-0.11%,-0.06%,1.21,-0.9,1,5,IW,1
Jorge Mateo SS,Aug 5,4,0,0,0,0,0,4,0.214,0.261,0.384,0.645,11,8,-0.134,1.23,0,-0.13%,-0.07%,1.07,-1.7,0,0,,1
Brett Phillips LF,Aug 5,4,0,1,0,0,2,4,0.147,0.224,0.253,0.476,18,10,-0.01,1.04,0.069,-0.08%,-0.01%,0.9,-0.5,4,0,2B,1
Cedric Mullins CF,Aug 6,4,0,1,1,0,2,5,0.263,0.322,0.393,0.715,15,10,-0.025,0.67,0.034,-0.06%,-0.01%,0.6,-0.8,8,0,SF,1
Adley Rutschman C,Aug 6,3,1,2,0,2,0,5,0.256,0.365,0.444,0.809,28,15,0.027,0.63,0.053,-0.03%,0.01%,0.56,0.7,8,0,,1
Anthony Santander RF,Aug 6,5,0,1,0,0,1,5,0.258,0.337,0.457,0.794,17,11,-0.048,0.82,0.033,-0.08%,-0.03%,0.74,-1.3,1,0,2B,1
Ryan Mountcastle 1B,Aug 6,4,0,1,0,1,2,5,0.255,0.297,0.43,0.727,19,13,-0.041,0.85,0.038,-0.08%,-0.02%,0.76,-0.7,5,1,,1
Terrin Vavra DH,Aug 6,5,0,1,1,0,1,5,0.389,0.522,0.444,0.966,16,11,0.059,0.8,0.108,-0.05%,0.03%,0.72,0.1,,,,1
Ramon Urias 3B,Aug 6,5,1,1,0,0,2,5,0.247,0.295,0.423,0.718,19,17,-0.043,0.73,0.04,-0.08%,-0.02%,0.65,-0.9,0,0,2B,1
Rougned Odor 2B,Aug 6,2,2,1,0,2,0,4,0.195,0.259,0.369,0.628,14,6,0.085,0.7,0.118,-0.03%,0.05%,0.63,1.3,1,4,"2B,SB",1
Jorge Mateo SS,Aug 6,2,2,1,1,1,0,4,0.215,0.266,0.385,0.651,20,10,0.041,0.68,0.052,-0.01%,0.02%,0.6,0.9,1,1,HBP,1
Brett Phillips LF,Aug 6,2,0,1,1,0,1,2,0.151,0.226,0.26,0.487,11,7,0.062,0.91,0.083,-0.02%,0.03%,0.81,1,3,0,2B,1
Cedric Mullins CF,Aug 7,4,0,0,0,0,0,4,0.26,0.32,0.389,0.709,13,9,-0.073,0.8,0.002,-0.07%,-0.04%,0.77,-0.5,2,0,,1
Adley Rutschman DH,Aug 7,4,0,1,0,0,0,4,0.256,0.363,0.441,0.804,14,9,-0.018,0.73,0.033,-0.05%,-0.01%,0.7,-0.5,,,,1
Terrin Vavra 2B,Aug 7,2,0,0,0,0,1,2,0.35,0.48,0.4,0.88,5,4,-0.041,0.86,0,-0.04%,-0.02%,0.82,-0.5,0,3,,1
Anthony Santander RF,Aug 7,4,0,0,0,0,2,4,0.255,0.334,0.452,0.786,13,9,-0.053,0.54,0,-0.05%,-0.03%,0.51,-0.9,1,0,,1
Ryan Mountcastle 1B,Aug 7,4,0,0,0,0,1,4,0.252,0.294,0.425,0.719,15,8,-0.04,0.38,0,-0.04%,-0.02%,0.36,-0.6,7,2,,1
Rougned Odor 3B,Aug 7,3,0,0,0,0,2,3,0.193,0.257,0.365,0.622,11,7,-0.043,0.57,0,-0.04%,-0.03%,0.54,-0.4,2,2,,1
